asset_id,type,source,path_or_url,segment_id,role,rights_status,status,review_status,beat_ids,actor_id,version,motion_type,embed_full,embed_card,last_regen_at,notes
motion_shaking_lamp,video_clip,licensed or self-created footage,segments/S001/assets/ref/processed/motion_shaking_lamp_1280x720.mp4,S001,scene,needs-check,needed,pending,B001,actor_shaking_lamp,001,real_footage,segments/S001/assets/ref/processed/motion_shaking_lamp_1280x720.mp4,,,真实危险感主素材；不要用图标替代。
ref_app_home,screenshot,self-captured app screenshot,segments/S001/assets/ref/processed/ref_app_home_1280x720.jpg,S001,evidence,editorial-review,needed,pending,B002,actor_app_home,001,still_photo,segments/S001/assets/ref/processed/ref_app_home_1280x720.jpg,segments/S001/assets/ref/processed/ref_app_home_640x360.jpg,,App 首页证据素材，标题和入口必须可读。
ref_app_ad_slot,screenshot,self-captured app screenshot,segments/S001/assets/ref/processed/ref_app_ad_slot_1280x720.jpg,S001,evidence,editorial-review,ready,pending,B003,actor_app_ad_slot,001,still_photo,segments/S001/assets/ref/processed/ref_app_ad_slot_1280x720.jpg,segments/S001/assets/ref/processed/ref_app_ad_slot_640x360.jpg,,广告位证据素材；需完整页到局部推近。
ref_vip_table,screenshot,self-captured app table,segments/S001/assets/ref/processed/ref_vip_table_1280x720.jpg,S001,evidence,editorial-review,needed,pending,B004,actor_vip_table,001,still_photo,segments/S001/assets/ref/processed/ref_vip_table_1280x720.jpg,segments/S001/assets/ref/processed/ref_vip_table_640x360.jpg,,会员权益表；列标题和关键行不可裁掉。
hf_red_box,hyperframes_component,inline SVG/CSS in segment code,programmatic,S001,annotation,self-created,ready,pending,B003;B004,actor_red_box,001,programmatic,,,,HyperFrames 原生红框；不在资产阶段生成文件。
hf_phone_frame,hyperframes_component,HTML/CSS phone frame in segment code,programmatic,S001,container,self-created,ready,pending,B002;B003,actor_phone_frame,001,programmatic,,,,HyperFrames 原生手机框；承载 App 截图。
hf_grid_bg,hyperframes_component,CSS off-white grid background,programmatic,S001,ambient,self-created,ready,pending,all,actor_grid_bg,001,programmatic,,,,米白色网格背景；默认解释/证据场景使用。
hf_noise_grain,hyperframes_component,CSS paper grain overlay,programmatic,S001,ambient,self-created,ready,pending,all,actor_noise_grain,001,programmatic,,,,细颗粒纸感，避免背景太空。
hf_source_card,hyperframes_component,HTML/CSS source card frame,programmatic,S001,container,self-created,ready,pending,B002;B003;B004,actor_source_card,001,programmatic,,,,证据卡容器和来源标签。
hf_icon_cluster,hyperframes_component,small contextual icons generated in code,programmatic,S001,support,self-created,ready,pending,B002;B003,actor_icon_cluster,001,programmatic,,,,小图标群，只做语义辅助和节奏微动。
hf_data_chip,hyperframes_component,status/data chips generated in code,programmatic,S001,support,self-created,ready,pending,B003;B004,actor_data_chip,001,programmatic,,,,状态/警示/对比 chip，补充画面信息密度。
chart_privilege_compare,hyperframes_component,mini comparison chart generated in code,programmatic,S001,data,self-created,ready,pending,B004,actor_privilege_chart,001,programmatic,,,,会员权益差异的迷你对比条，由 HyperFrames 绘制。
text_hook_time,text_layer,programmatic text,script/text_manifest.json,S001,text,self-created,ready,pending,B001,actor_text_hook_time,001,text,,,,小号时间文字，建立严肃感。
text_app_label,text_layer,programmatic text,script/text_manifest.json,S001,text,self-created,ready,pending,B002,actor_text_app,001,text,,,,贴在手机界面附近的短标签。
text_ad_label,text_layer,programmatic text,script/text_manifest.json,S001,text,self-created,ready,pending,B003,actor_text_ad,001,text,,,,红色关键词“广告”，绑定到广告位。
text_normal_vip,text_layer,programmatic text,script/text_manifest.json,S001,text,self-created,ready,pending,B004,actor_text_normal_vip,001,text,,,,表格列头对比标签。
text_final_line,text_layer,programmatic text,script/text_manifest.json,S001,text,self-created,ready,pending,B005,actor_text_final,001,text,,,,黑底白字观点句。
hf_ambient_dark_room,hyperframes_component,CSS native background,programmatic,S001,ambient,self-created,ready,pending,B001,actor_ambient_dark,001,programmatic,,,,只做气氛，不承担信息。
hf_soft_shadow,hyperframes_component,CSS native shadow/plate,programmatic,S001,ambient,self-created,ready,pending,B002;B003;B004,actor_soft_shadow,001,programmatic,,,,给截图卡片提供空间感，不生成外部图片。
hf_black,hyperframes_component,CSS native black plate,programmatic,S001,ambient,self-created,ready,pending,B005,actor_black,001,programmatic,,,,观点收束黑底。
